Data Year,Utility Number,Community,Utility Name,Ownership,Residential Thousand Dollars,Residential Megawatthours,Residential Count,Commercial Thousand Dollars,Commercial Megawatthours,Commercial Count,Industrial Thousand Dollars,Industrial Megawatthours,Industrial Count,Total Thousand Dollars,Total Megawatthours,Total CustomerCount
2010,14234,Ouzinkie,City of Ouzinkie,Municipal,109,320,76,132,332,17,0,0,0,241,652,93
2009,14234,Ouzinkie,City of Ouzinkie,Municipal,93,286,68,121,322,15,0,0,0,214,608,83
2008,14234,Ouzinkie,City of Ouzinkie,Municipal,91.1,267,71,107,284,13,0,0,0,198.1,551,84
2007,14234,Ouzinkie,City of Ouzinkie,Municipal,94,300,76,123,400,15,0,0,0,217,700,91
2006,14234,Ouzinkie,City of Ouzinkie,Municipal,99,300,78,127,400,14,0,0,0,226,700,92
2005,14234,Ouzinkie,City of Ouzinkie,Municipal,117,350,81,146,396,14,0,0,0,263,746,95
2004,14234,Ouzinkie,City of Ouzinkie,Municipal,113,346,80,145,405,14,0,0,0,258,751,94
2003,14234,Ouzinkie,City of Ouzinkie,Municipal,108,341,82,103,289,7,0,0,0,211,630,89
2011,14633,Pedro Bay,Pedro Bay Village Council,Municipal,60,67,29,116,132,16,0,0,0,176,199,45
2010,14633,Pedro Bay,Pedro Bay Village Council,Municipal,59.2,65,30,130.7,154,12,0,0,0,189.9,219,42
2009,14633,Pedro Bay,Pedro Bay Village Council,Municipal,65,72,21,122,162,9,0,0,0,187,234,30
2008,14633,Pedro Bay,Pedro Bay Village Council,Municipal,47,65,24,101,161,8,0,0,0,148,226,32
2007,14633,Pedro Bay,Pedro Bay Village Council,Municipal,46,77,28,87,155,10,0,0,0,133,232,38
2006,14633,Pedro Bay,Pedro Bay Village Council,Municipal,55,91,31,81,167,10,0,0,0,136,258,41
2005,14633,Pedro Bay,Pedro Bay Village Council,Municipal,54,89,34,78,165,9,0,0,0,132,254,43
2004,14633,Pedro Bay,Pedro Bay Village Council,Municipal,43,68,22,66,117,10,0,0,0,109,185,32
2003,14633,Pedro Bay,Pedro Bay Village Council,Municipal,39,65,22,59,111,10,0,0,0,98,176,32
2011,14832,Perryville,Native Village of Perryville,Municipal,126.5,133,43,151,158,18,0,0,0,277.5,291,61
2010,14832,Perryville,Native Village of Perryville,Municipal,93.4,122,43,151,197,18,0,0,0,244.4,319,61
2009,14832,Perryville,Native Village of Perryville,Municipal,93,227,41,72.6,121,10,0,0,0,165.6,348,51
2008,14832,Perryville,Native Village of Perryville,Municipal,101.4,252,45,27.6,46,10,0,0,0,129,298,55
2007,14832,Perryville,Native Village of Perryville,Municipal,139,294,35,43,91,11,0,0,0,182,385,46
2006,14832,Perryville,Native Village of Perryville,Municipal,142,300,35,12,25,6,0,0,0,154,325,41
2005,14832,Perryville,Native Village of Perryville,Municipal,68,207,35,59,189,5,0,0,0,127,396,40
2004,14832,Perryville,Native Village of Perryville,Municipal,63,207,35,56,184,5,0,0,0,119,391,40
2003,14832,Perryville,Native Village of Perryville,Municipal,58,198,35,50,174,5,0,0,0,108,372,40
2014,14856,Petersburg,City of Petersburg,Municipal,1942.1,19703,1372,1059,9246,708,2210.2,20201,31,5211.3,49150,2111
2013,14856,Petersburg,City of Petersburg,Municipal,1972.9,20323,1361,1026,8977,684,2366.9,21896,38,5365.8,51196,2083
2012,14856,Petersburg,City of Petersburg,Municipal,2010.2,20803,1354,1030.5,9064,717,2208.6,19905,39,5249.3,49772,2110
2011,14856,Petersburg,City of Petersburg,Municipal,2006.8,20389,1367,1000.6,8580,713,2329.9,21706,37,5337.3,50675,2117
2010,14856,Petersburg,City of Petersburg,Municipal,1890,18877,1366,935,8035,707,2063,19400,37,4888,46312,2110
2009,14856,Petersburg,City of Petersburg,Municipal,2006,20559,1367,992,8634,702,2053,18991,36,5051,48184,2105
2008,14856,Petersburg,City of Petersburg,Municipal,1808,17767,1368,934,7929,700,2027,18813,35,4769,44509,2103
2007,14856,Petersburg,City of Petersburg,Municipal,1722,15235,1376,933,7617,685,2207,19940,33,4862,42792,2094
2006,14856,Petersburg,City of Petersburg,Municipal,1629,14600,1375,915,7685,687,2006,18035,33,4550,40320,2095
2005,14856,Petersburg,City of Petersburg,Municipal,1312,13464,1359,744,7187,667,1620,16944,30,3676,37595,2056
2004,14856,Petersburg,City of Petersburg,Municipal,1282,13133,1358,696,6639,589,1615,16831,30,3593,36603,1977
2003,14856,Petersburg,City of Petersburg,Municipal,1265,13248,1333,736,7014,633,1447,15801,30,3448,36063,1996
2014,16955,Seward,Seward City of,Municipal,3234,15265,2097,1800,7964,513,5927,31961,125,10961,55190,2735
2013,16955,Seward,Seward City of,Municipal,3182,15611,2074,1814,8392,507,5912,33947,125,10908,57950,2706
2012,16955,Seward,Seward City of,Municipal,3344,16488,2064,1869,8651,503,5828,33599,126,11041,58738,2693
2011,16955,Seward,Seward City of,Municipal,3123,16246,2053,1724,8464,496,5319,32544,122,10166,57254,2671
2010,16955,Seward,Seward City of,Municipal,2728,15880,2038,1461,7920,493,4476,30884,120,8665,54684,2651
2009,16955,Seward,Seward City of,Municipal,2831,16329,2013,1446,7756,489,4718,31631,122,8995,55716,2624
2008,16955,Seward,Seward City of,Municipal,2671,16528,2000,1380,7912,482,4553,32899,120,8604,57339,2602
2007,16955,Seward,Seward City of,Municipal,2563,15290,1973,1371,7977,476,4346,33752,118,8280,57019,2567
2006,16955,Seward,Seward City of,Municipal,2516,16374,1942,1337,7963,447,4027,31075,118,7880,55412,2507
2005,16955,Seward,Seward City of,Municipal,2276,15813,1879,1318,8149,403,3633,30825,105,7227,54787,2387
2004,16955,Seward,Seward City of,Municipal,2160,15799,1924,1321,8953,412,3314,30774,105,6795,55526,2441
2003,16955,Seward,Seward City of,Municipal,2033,15587,1938,2264,17343,460,2101,21734,58,6398,54664,2456
2014,17271,Sitka,Sitka City & Borough of,Municipal,5207,43985,3581,7509,41009,1670,785,21003,21,13501,105997,5272
2013,17271,Sitka,Sitka City & Borough of,Municipal,4875,45559,3685,6349,57230,1588,766,6776,21,11990,109565,5294
2012,17271,Sitka,Sitka City & Borough of,Municipal,4570,47899,3669,5638,58534,1622,476,4968,15,10684,111401,5306
2011,17271,Sitka,Sitka City & Borough of,Municipal,4573,48297,3682,5442,58422,1603,522,5563,16,10537,112282,5301
2010,17271,Sitka,Sitka City & Borough of,Municipal,4399,46120,3677,5376,57272,1589,492,5223,15,10267,108615,5281
2009,17271,Sitka,Sitka City & Borough of,Municipal,4635,49265,3652,5447,58663,1598,478,4769,15,10560,112697,5265
2008,17271,Sitka,Sitka City & Borough of,Municipal,4620,48589,3650,5474,59803,1567,416,4514,15,10510,112906,5232
2007,17271,Sitka,Sitka City & Borough of,Municipal,4248,44738,3602,5504,58378,1550,332,3746,11,10084,106862,5163
2006,17271,Sitka,Sitka City & Borough of,Municipal,4107,43274,3550,5320,55922,1525,199,2028,9,9626,101224,5084
2005,17271,Sitka,Sitka City & Borough of,Municipal,3812,40027,3504,5214,54380,1535,174,1772,9,9200,96179,5048
2004,17271,Sitka,Sitka City & Borough of,Municipal,3723,39761,3481,4984,54181,1541,114,1827,1,8821,95769,5023
2003,17271,Sitka,Sitka City & Borough of,Municipal,3613,38973,4169,4911,53766,736,89,1195,1,8613,93934,4906
2011,17898,Saint Paul,City of Saint Paul,Municipal,453.1,873,154,1425.6,2442,64,162.8,343,17,2041.5,3658,235
2010,17898,Saint Paul,City of Saint Paul,Municipal,396,841,154,1082,2031,64,541,1104,17,2019,3976,235
2009,17898,Saint Paul,City of Saint Paul,Municipal,390,812,154,1048,1991,64,760,1657,17,2198,4460,235
2008,17898,Saint Paul,City of Saint Paul,Municipal,455,821,154,1235,2020,64,1040,1902,17,2730,4743,235
2007,17898,Saint Paul,City of Saint Paul,Municipal,354,861,154,908,1912,64,1019,2564,18,2281,5337,236
2006,17898,Saint Paul,City of Saint Paul,Municipal,361,903,154,872,1877,64,929,2438,18,2162,5218,236
2005,17898,Saint Paul,City of Saint Paul,Municipal,343,928,154,842,1964,33,874,2449,17,2059,5341,204
2004,17898,Saint Paul,City of Saint Paul,Municipal,442,1084,154,434,1198,31,1021,3143,46,1897,5425,231
2003,17898,Saint Paul,City of Saint Paul,Municipal,394,1040,154,360,1072,26,460,1291,46,1214,3403,226
2011,18474,Tanana,Tanana Power Co Inc,Investor Owned,223,409,145,316,704,17,0,0,0,539,1113,162
2010,18474,Tanana,Tanana Power Co Inc,Investor Owned,224,394,144,329,704,17,0,0,0,553,1098,161
2009,18474,Tanana,Tanana Power Co Inc,Investor Owned,219,382,147,328,702,17,0,0,0,547,1084,164
2008,18474,Tanana,Tanana Power Co Inc,Investor Owned,245,448,151,304,681,20,0,0,0,549,1129,171
2007,18474,Tanana,Tanana Power Co Inc,Investor Owned,249,452,159,350,785,18,0,0,0,599,1237,177
2006,18474,Tanana,Tanana Power Co Inc,Investor Owned,265,470,160,368,781,21,0,0,0,633,1251,181
2005,18474,Tanana,Tanana Power Co Inc,Investor Owned,262,465,160,355,764,20,0,0,0,617,1229,180
2004,18474,Tanana,Tanana Power Co Inc,Investor Owned,277,454,157,345,742,19,0,0,0,622,1196,176
2003,18474,Tanana,Tanana Power Co Inc,Investor Owned,262,452,161,336,708,18,0,0,0,598,1160,179
2011,18480,Tatitlek,Tatitlek Electric Utility,Municipal,87,138,40,158,244,28,0,0,0,245,382,68
2010,18480,Tatitlek,Tatitlek Electric Utility,Municipal,76,139,40,124,270,23,0,0,0,200,409,63
2009,18480,Tatitlek,Tatitlek Electric Utility,Municipal,89,133,38,135,221,27,0,0,0,224,354,65
2008,18480,Tatitlek,Tatitlek Electric Utility,Municipal,86,150,37,154,218,25,0,0,0,240,368,62
2007,18480,Tatitlek,Tatitlek Electric Utility,Municipal,64,149,34,58,257,24,0,0,0,122,406,58
2006,18480,Tatitlek,Tatitlek Electric Utility,Municipal,47,152,36,108,245,20,0,0,0,155,397,56
2005,18480,Tatitlek,Tatitlek Electric Utility,Municipal,38,141,35,61,253,21,0,0,0,99,394,56
2004,18480,Tatitlek,Tatitlek Electric Utility,Municipal,55,135,36,95,230,19,0,0,0,150,365,55
2003,18480,Tatitlek,Tatitlek Electric Utility,Municipal,50,129,36,85,218,19,0,0,0,135,347,55
2004,18521,Teller,"Teller Power Company, Inc",Investor Owned,0,0,70,0,0,27,0,0,0,0,0,97
2003,18521,Teller,"Teller Power Company, Inc",Investor Owned,144,276,70,228,444,27,0,0,0,372,720,97
2011,18541,Tenakee Springs,City of Tenakee Springs,Municipal,165.7,241,124,83.2,120,35,0,0,0,248.9,361,159
2010,18541,Tenakee Springs,City of Tenakee Springs,Municipal,153.2,240,124,72.5,113,36,0,0,0,225.7,353,160
2009,18541,Tenakee Springs,City of Tenakee Springs,Municipal,157.5,249,126,78,124,35,0,0,0,235.5,373,161
2008,18541,Tenakee Springs,City of Tenakee Springs,Municipal,128.6,201,110,77.3,121,15,0,0,0,205.9,322,125
2007,18541,Tenakee Springs,City of Tenakee Springs,Municipal,90,243,125,64,104,27,0,0,0,154,347,152
2006,18541,Tenakee Springs,City of Tenakee Springs,Municipal,127,256,109,77,139,43,0,0,0,204,395,152
2005,18541,Tenakee Springs,City of Tenakee Springs,Municipal,114,210,116,70,131,45,0,0,0,184,341,161
2004,18541,Tenakee Springs,City of Tenakee Springs,Municipal,84,232,119,57,159,43,0,0,0,141,391,162
2003,18541,Tenakee Springs,City of Tenakee Springs,Municipal,73,230,99,54,168,36,0,0,0,127,398,135
2011,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2980,4764,1037,2254,4411,192,709,1155,62,5943,10330,1291
2010,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2656,4645,1129,1979,4301,220,501,889,63,5136,9835,1412
2009,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2275,4688,1027,1657,4300,202,434,903,55,4366,9891,1284
2008,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2890,4787,1041,2254,4575,210,532,896,52,5676,10258,1303
2007,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2506,4805,1046,1911,4693,219,440,853,49,4857,10351,1314
2006,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2593,4934,1036,2090,5257,212,452,873,48,5135,11064,1296
2005,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2325,4970,1024,1633,4343,194,416,909,48,4374,10222,1266
2004,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,2012,5178,1027,1318,4370,186,386,1031,48,3716,10579,1261
2003,18963,IPEC,"Inside Passage Elec Coop, Inc",Political Subdivision,1951,5258,1040,1260,4755,186,392,1108,47,3603,11121,1273
2011,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,285,380,98,230,421,30,0,0,0,515,801,128
2010,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,270,375,90,290,425,33,0,0,0,560,800,123
2009,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,242,371,94,228,428,29,0,0,0,470,799,123
2008,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,197,379,89,170,365,26,0,0,0,367,744,115
2007,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,200,384,89,168,354,26,0,0,0,368,738,115
2006,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,203,389,89,163,329,26,0,0,0,366,718,115
2005,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,198,412,94,157,336,34,0,0,0,355,748,128
2004,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,181,374,77,129,304,14,5,11,1,315,689,92
2003,19267,Tuntutliak,Tuntutuliak Comm Services Assn,Cooperative,165,358,77,115,288,14,5,11,1,285,657,92
2014,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,13905,68810,109,0,0,0,13905,68810,109
2013,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,11960,64780,74,0,0,0,11960,64780,74
2012,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,11466,66768,75,0,0,0,11466,66768,75
2011,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,11574,57192,75,0,0,0,11574,57192,75
2010,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,7274,55674,73,0,0,0,7274,55674,73
2009,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,6763,48731,70,0,0,0,6763,48731,70
2008,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,6115.3,41000,70,0,0,0,6115.3,41000,70
2007,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,5758,39149,66,0,0,0,5758,39149,66
2006,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,5022,30384,110,0,0,0,5022,30384,110
2005,19277,Deadhorse,TDX North Slope Generating Co,Investor Owned,0,0,0,3992,28138,54,0,0,0,3992,28138,54
2004,19277,Deadhorse,TDX North Slope Generating Co,Power Marketer,0,0,0,3193,26183,54,0,0,0,3193,26183,54
2003,19277,Deadhorse,TDX North Slope Generating Co,Power Marketer,,,,3814,24616,54,,,,3814,24616,54
2014,19454,Unalaska,City of Unalaska,Municipal,1758,3703,704,4676,10654,245,11771,30227,17,18205,44584,966
2013,19454,Unalaska,City of Unalaska,Municipal,1888.8,3976,691,4892.1,11396,241,11397,29230,17,18177.9,44602,949
2012,19454,Unalaska,City of Unalaska,Municipal,1997.6,4009,686,4906.4,11183,242,10572,27024,16,17476,42216,944
2011,19454,Unalaska,City of Unalaska,Municipal,1778.7,3956,682,4631.5,12051,240,8820,25557,16,15230.2,41564,938
2010,19454,Unalaska,City of Unalaska,Municipal,1525.8,3954,688,3488.6,10725,236,5652,20213,16,10666.4,34892,940
2009,19454,Unalaska,City of Unalaska,Municipal,1320.9,3996,688,3241.1,12062,237,4017.7,18091,16,8579.7,34149,941
2008,19454,Unalaska,City of Unalaska,Municipal,1834.3,3955,683,4864.4,12047,233,7045.8,19550,17,13744.5,35552,933
2007,19454,Unalaska,City of Unalaska,Municipal,1567,4171,679,3881,11708,229,5478,19982,17,10926,35861,925
2006,19454,Unalaska,City of Unalaska,Municipal,1383,4310,675,3507,12421,227,4414,19656,17,9304,36387,919
2005,19454,Unalaska,City of Unalaska,Municipal,1313,4125,667,3539,12557,228,3924,17333,18,8776,34015,913
2004,19454,Unalaska,City of Unalaska,Municipal,953,3950,456,2594,12373,169,1814,11974,14,5361,28297,639
2003,19454,Unalaska,City of Unalaska,Municipal,1007,4251,456,2540,12072,169,1814,11974,14,5361,28297,639
2014,19558,Homer,Homer Electric Assn Inc,Cooperative,41336,169999,26430,37559.5,175624,4025,11782.7,119489,23,90678.2,465112,30478
2013,19558,Homer,Homer Electric Assn Inc,Cooperative,37754.1,179868,26150,33178.3,180983,3976,9511.7,120722,23,80444.1,481573,30149
2012,19558,Homer,Homer Electric Assn Inc,Cooperative,36648,180859,25914,31967,181734,3916,11094,127076,23,79709,489669,29853
2011,19558,Homer,Homer Electric Assn Inc,Cooperative,35185,178368,25634,31514,177869,3834,9509,118432,25,76208,474669,29493
2010,19558,Homer,Homer Electric Assn Inc,Cooperative,29363,174990,25243,26283,178271,3784,9063,116657,25,64709,469918,29052
2009,19558,Homer,Homer Electric Assn Inc,Cooperative,34555,176400,24685,31419.7,178680,3617,13145.8,128069,26,79120.5,483149,28328
2008,19558,Homer,Homer Electric Assn Inc,Cooperative,30087,180989,24254,26821,181209,3610,12060,159829,27,68968,522027,27891
2007,19558,Homer,Homer Electric Assn Inc,Cooperative,25794,173197,23811,22809,174380,3563,12957,182065,27,61560,529642,27401
2006,19558,Homer,Homer Electric Assn Inc,Cooperative,25463,174054,23181,22517,173653,3503,9551,145675,27,57531,493382,26711
2005,19558,Homer,Homer Electric Assn Inc,Cooperative,22022,170004,22589,19218,170239,3423,9093,163066,28,50333,503309,26040
2004,19558,Homer,Homer Electric Assn Inc,Cooperative,19421,168678,22110,17040,171334,3501,7569,154991,29,44030,495003,25640
2003,19558,Homer,Homer Electric Assn Inc,Cooperative,18607,160667,21640,16292,167954,3436,6390,150355,26,41289,478976,25102
2011,20535,White Mountain,City of White Mountain,Municipal,178,247,70,319,443,34,0,0,0,497,690,104
2010,20535,White Mountain,City of White Mountain,Municipal,174.5,242,68,321.7,431,34,0,0,0,496.2,673,102
2009,20535,White Mountain,City of White Mountain,Municipal,146,238,68,359,461,34,0,0,0,505,699,102
2008,20535,White Mountain,City of White Mountain,Municipal,158,236,73,352,524,20,0,0,0,510,760,93
2007,20535,White Mountain,City of White Mountain,Municipal,163,272,64,366,609,24,,,,529,881,88
2006,20535,White Mountain,City of White Mountain,Municipal,153,282,81,207,350,19,0,0,0,360,632,100
2005,20535,White Mountain,City of White Mountain,Municipal,139,288,71,195,442,27,13,26,3,347,756,101
2004,20535,White Mountain,City of White Mountain,Municipal,129,288,71,184,430,27,11,25,3,324,743,101
2003,20535,White Mountain,City of White Mountain,Municipal,118,275,71,164,407,27,10,25,3,292,707,101
2014,21015,Wrangell,City of Wrangell,Municipal,1537,13997,1193,2395,21439,863,0,0,0,3932,35436,2056
2013,21015,Wrangell,City of Wrangell,Municipal,1525,14362,1174,2255,21096,814,0,0,0,3780,35458,1988
2012,21015,Wrangell,City of Wrangell,Municipal,1604,15273,1170,2132,19919,778,0,0,0,3736,35192,1948
2011,21015,Wrangell,City of Wrangell,Municipal,1506,14183,1050,2096,19585,578,0,0,0,3602,33768,1628
2010,21015,Wrangell,City of Wrangell,Municipal,1365,12596,1059,1695,14625,605,0,0,0,3060,27221,1664
2009,21015,Wrangell,City of Wrangell,Municipal,1283,12867,1058,1529,14096,530,3.6,53,1,2815.6,27016,1589
2008,21015,Wrangell,City of Wrangell,Municipal,1135,10800,1058,1401,12945,510,35,888,1,2571,24633,1569
2007,21015,Wrangell,City of Wrangell,Municipal,1004,9184,1050,1417,13128,489,142,3489,2,2563,25801,1541
2006,21015,Wrangell,City of Wrangell,Municipal,898,7935,1037,1291,12068,472,195,5141,2,2384,25144,1511
2005,21015,Wrangell,City of Wrangell,Municipal,863,7558,1039,1310,12388,464,185,4895,2,2358,24841,1505
2004,21015,Wrangell,City of Wrangell,Municipal,847,7384,1040,1372,11696,466,164,4318,2,2383,23398,1508
2003,21015,Wrangell,City of Wrangell,Municipal,844,7355,1045,1386,14371,472,5,65,1,2235,21791,1518
2011,24486,Akutan,City of Akutan,Municipal,64,207,41,91,284,28,0,0,0,155,491,69
2010,24486,Akutan,City of Akutan,Municipal,63,213,41,101,308,28,0,0,0,164,521,69
2009,24486,Akutan,City of Akutan,Municipal,62,193,37,102,320,26,0,0,0,164,513,63
2008,24486,Akutan,City of Akutan,Municipal,66,206,39,64,199,17,0,0,0,130,405,56
2007,24486,Akutan,City of Akutan,Municipal,68,200,37,104,321,30,0,0,0,172,521,67
2006,24486,Akutan,City of Akutan,Municipal,75,202,37,107,301,29,0,0,0,182,503,66
2005,24486,Akutan,City of Akutan,Municipal,60,184,37,99,305,25,0,0,0,159,489,62
2004,24486,Akutan,City of Akutan,Municipal,98,523,65,0,0,0,0,0,0,98,523,65
2003,24486,Akutan,City of Akutan,Municipal,90,500,65,,0,0,0,0,0,90,500,65
2011,26317,Manokotak,City of Manokotak,Municipal,298.6,543,147,385.7,680,46,0,0,0,684.3,1223,193
2010,26317,Manokotak,City of Manokotak,Municipal,283.7,516,137,365.6,645,48,0,0,0,649.3,1161,185
2009,26317,Manokotak,City of Manokotak,Municipal,259.6,518,128,312.3,612,44,0,0,0,571.9,1130,172
2008,26317,Manokotak,City of Manokotak,Municipal,181.1,455,128,240.6,607,30,0,0,0,421.7,1062,158
2007,26317,Manokotak,City of Manokotak,Municipal,178,884,126,24,72,11,0,0,0,202,956,137
2006,26317,Manokotak,City of Manokotak,Municipal,177,1087,107,18,42,9,0,0,0,195,1129,116
2005,26317,Manokotak,City of Manokotak,Municipal,177,1171,107,18,54,9,0,0,0,195,1225,116
2004,26317,Manokotak,City of Manokotak,Municipal,302,850,98,121,334,38,0,0,0,423,1184,136
2003,26317,Manokotak,City of Manokotak,Municipal,276,813,98,108,316,38,0,0,0,384,1129,136
2014,26616,NSB,North Slope Borough Power & Light,Municipal,1051,6032,657,7610,26433,469,0,0,0,8661,32465,1126
2013,26616,NSB,North Slope Borough Power & Light,Municipal,1049.8,6018,654,7664.8,24687,464,0,0,0,8714.6,30705,1118
2012,26616,NSB,North Slope Borough Power & Light,Municipal,1015.8,5923,659,6125.8,21221,426,0,0,0,7141.6,27144,1085
2011,26616,NSB,North Slope Borough Power & Light,Municipal,976.8,5248,711,6610.7,22662,464,0,0,0,7587.5,27910,1175
2010,26616,NSB,North Slope Borough Power & Light,Municipal,1021.3,6385,658,6184.8,21856,400,0,0,0,7206.1,28241,1058
2009,26616,NSB,North Slope Borough Power & Light,Municipal,1178,5746,744,6757,23623,380,0,0,0,7935,29369,1124
2008,26616,NSB,North Slope Borough Power & Light,Municipal,1515,7278,1343,5715,20425,527,0,0,0,7230,27703,1870
2007,26616,NSB,North Slope Borough Power & Light,Municipal,917,8087,616,6327,20681,306,0,0,0,7244,28768,922
2006,26616,NSB,North Slope Borough Power & Light,Municipal,906,4466,620,5843,19587,540,360,2213,221,7109,26266,1381
2005,26616,NSB,North Slope Borough Power & Light,Municipal,900,4451,619,6632,23329,542,,,,7532,27780,1161
2004,26616,NSB,North Slope Borough Power & Light,Municipal,997,5000,646,6834,24000,534,0,0,0,7831,29000,1180
2003,26616,NSB,North Slope Borough Power & Light,Municipal,1081,5194,646,7111,21698,529,0,0,0,8192,26892,1175
2011,26754,Paxson,Paxson Inn & Lodge,Investor Owned,0,0,0,240,400,5,0,0,0,240,400,5
2010,26754,Paxson,Paxson Inn & Lodge,Investor Owned,1.2,1,2,238.8,144,4,0,0,0,240,145,6
2009,26754,Paxson,Paxson Inn & Lodge,Investor Owned,0,0,0,340,276,6,0,0,0,340,276,6
2008,26754,Paxson,Paxson Inn & Lodge,Investor Owned,0,0,0,240,180,6,0,0,0,240,180,6
2007,26754,Paxson,Paxson Inn & Lodge,Investor Owned,3,12,1,117,205,6,0,0,0,120,217,7
2006,26754,Paxson,Paxson Inn & Lodge,Investor Owned,2,12,1,110,205,6,0,0,0,112,217,7
2005,26754,Paxson,Paxson Inn & Lodge,Investor Owned,2,12,1,99,216,6,0,0,0,101,228,7
2004,26754,Paxson,Paxson Inn & Lodge,Investor Owned,0,3,1,54,206,6,0,0,0,54,209,7
2003,26754,Paxson,Paxson Inn & Lodge,Investor Owned,1,12,1,54,216,6,0,0,0,55,228,7
2011,29297,Pelican,Pelican Utility,Investor Owned,230,333,71,218,313,37,0,0,0,448,646,108
2010,29297,Pelican,Pelican Utility,Investor Owned,145,326,66,142,319,35,14,36,6,301,681,107
2009,29297,Pelican,Pelican Utility,Investor Owned,106,390,76,97,350,36,89,399,7,292,1139,119
2008,29297,Pelican,Pelican Utility,Investor Owned,77,467,74,66,375,40,95,653,13,238,1495,127
2007,29297,Pelican,Pelican Utility,Investor Owned,80,437,73,69,398,37,184,1272,17,333,2107,127
2006,29297,Pelican,Pelican Utility,Investor Owned,70,427,75,63,381,35,160,1138,17,293,1946,127
2005,29297,Pelican,Pelican Utility,Investor Owned,61,401,73,56,372,33,108,815,20,225,1588,126
2004,29297,Pelican,Pelican Utility,Investor Owned,105,682,143,29,193,13,111,848,20,245,1723,176
2003,29297,Pelican,Pelican Utility,Investor Owned,82,535,80,67,422,76,186,1428,21,335,2385,177
2011,30150,Yakutat,Yakutat Power Inc,Political Subdivision,739,1443,277,2065,4566,148,0,0,0,2804,6009,425
2010,30150,Yakutat,Yakutat Power Inc,Political Subdivision,682,1413,270,1819,4564,140,0,0,0,2501,5977,410
2009,30150,Yakutat,Yakutat Power Inc,Political Subdivision,645,1460,272,1719,4441,143,0,0,0,2364,5901,415
2008,30150,Yakutat,Yakutat Power Inc,Political Subdivision,803,1550,276,2086,4535,142,0,0,0,2889,6085,418
2007,30150,Yakutat,Yakutat Power Inc,Political Subdivision,670,1594,275,1740,4749,136,0,0,0,2410,6343,411
2006,30150,Yakutat,Yakutat Power Inc,Political Subdivision,657,1573,279,1691,4595,134,0,0,0,2348,6168,413
2005,30150,Yakutat,Yakutat Power Inc,Political Subdivision,518,1616,278,1215,4310,129,0,0,0,1733,5926,407
2004,30150,Yakutat,Yakutat Power Inc,Political Subdivision,450,1736,280,918,4369,123,0,0,0,1368,6105,403
2003,30150,Yakutat,Yakutat Power Inc,Political Subdivision,494,1696,276,790,3440,72,264,1069,50,1548,6205,398
2014,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1816.5,4532,940,3735.2,11919,676,2306.4,9227,5,7858.1,25678,1621
2013,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1921.8,4660,935,4080.1,12526,659,2137.1,9316,5,8139,26502,1599
2012,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,2107,4998,929,4323,12611,625,1902,8004,5,8332,25613,1559
2011,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,2114,5069,932,4191,12298,629,2001,8004,5,8306,25371,1566
2010,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1931,5103,914,3489,11612,602,1793,8414,5,7213,25129,1521
2009,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1698.7,4969,910,3168.8,11514,595,1433.5,7439,5,6301,23922,1510
2008,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1915.2,4898,930,3830.8,11644,607,1511,6940,5,7257,23482,1542
2007,40215,Cordova,"Cordova Electric Coop, Inc",Cooperative,1850,5104,926,3650,12308,590,1338,7259,5,6838,24671,1521
